"postcode","ced_2016","num_in_ced_2016","proportion_in_ced_2016"
"2456","Page","1","1.0000"
"2460","Page","1","1.0000"
"2462","Page","1","1.0000"
"2463","Page","1","1.0000"
"2464","Page","1","1.0000"
"2465","Page","1","1.0000"
"2466","Page","1","1.0000"
"2469","Page","2","0.8588"
"2469","New England","2","0.1412"
"2470","Page","1","1.0000"
"2471","Page","1","1.0000"
"2472","Page","1","1.0000"
"2473","Page","1","1.0000"
"2474","Page","1","1.0000"
"2475","New England","2","0.8172"
"2475","Page","2","0.1828"
"2476","New England","2","0.7492"
"2476","Page","2","0.2508"
"2477","Page","2","0.8717"
"2477","Richmond","2","0.1283"
"2478","Richmond","2","0.8721"
"2478","Page","2","0.1279"
"2479","Richmond","1","1.0000"
"2480","Page","2","0.9414"
"2480","Richmond","2","0.0586"
"2481","Richmond","1","1.0000"
"2482","Richmond","1","1.0000"
"2483","Richmond","1","1.0000"
"2484","Richmond","1","1.0000"
"2485","Richmond","1","1.0000"
"2486","Richmond","1","1.0000"
"2487","Richmond","1","1.0000"
"2488","Richmond","1","1.0000"
"2489","Richmond","1","1.0000"
"2490","Richmond","1","1.0000"
"2500","Cunningham","1","1.0000"
"2502","Whitlam","2","0.6216"
"2502","Cunningham","2","0.3784"
"2505","Cunningham","1","1.0000"
"2506","Whitlam","1","1.0000"
"2508","Cunningham","3","0.8913"
"2508","Macarthur","3","0.0775"
"2508","Hughes","3","0.0311"
"2515","Cunningham","1","1.0000"
"2516","Cunningham","1","1.0000"
"2517","Cunningham","1","1.0000"
"2518","Cunningham","1","1.0000"
"2519","Cunningham","1","1.0000"
"2522","Cunningham","1","1.0000"
"2525","Cunningham","1","1.0000"
"2526","Cunningham","2","0.8598"
"2526","Whitlam","2","0.1402"
"2527","Whitlam","2","0.9185"
"2527","Gilmore","2","0.0815"
"2528","Whitlam","1","1.0000"
"2529","Whitlam","1","1.0000"
"2530","Whitlam","2","0.9631"
"2530","Cunningham","2","0.0369"
"2533","Gilmore","1","1.0000"
"2534","Gilmore","1","1.0000"
"2535","Gilmore","1","1.0000"
"2536","Gilmore","1","1.0000"
"2537","Gilmore","2","0.5389"
"2537","Eden-Monaro","2","0.4611"
"2538","Gilmore","1","1.0000"
"2539","Gilmore","1","1.0000"
"2540","Gilmore","2","0.9643"
"2540","Fenner","2","0.0357"
"2541","Gilmore","1","1.0000"
"2545","Eden-Monaro","1","1.0000"
"2546","Eden-Monaro","1","1.0000"
"2548","Eden-Monaro","1","1.0000"
"2549","Eden-Monaro","1","1.0000"
"2550","Eden-Monaro","1","1.0000"
"2551","Eden-Monaro","1","1.0000"
"2555","Lindsay","2","0.3275"
"2555","Werriwa","2","0.6725"
"2556","Hume","3","0.6126"
"2556","Werriwa","3","0.2989"
"2556","Macarthur","3","0.0885"
"2557","Macarthur","2","0.6841"
"2557","Werriwa","2","0.3159"
"2558","Macarthur","1","1.0000"
"2559","Macarthur","1","1.0000"
"2560","Hume","3","0.4452"
"2560","Cunningham","3","0.3004"
"2560","Macarthur","3","0.2543"
"2563","Macarthur","1","1.0000"
"2564","Werriwa","1","1.0000"
"2565","Macarthur","2","0.6257"
"2565","Werriwa","2","0.3743"
"2566","Macarthur","1","1.0000"
"2567","Hume","2","0.5372"
"2567","Macarthur","2","0.4628"
"2568","Hume","1","1.0000"
"2569","Hume","1","1.0000"
"2570","Hume","2","0.9708"
"2570","Macarthur","2","0.0292"
"2571","Hume","1","1.0000"
"2572","Hume","1","1.0000"
"2573","Hume","1","1.0000"
"2574","Whitlam","3","0.6890"
"2574","Hume","3","0.2412"
"2574","Cunningham","3","0.0699"
"2575","Hume","2","0.8285"
"2575","Whitlam","2","0.1715"
"2576","Whitlam","1","1.0000"
"2577","Whitlam","3","0.3393"
"2577","Gilmore","3","0.2427"
"2577","Hume","3","0.4180"
"2578","Hume","1","1.0000"
"2579","Hume","1","1.0000"
"2580","Hume","3","0.8487"
"2580","Eden-Monaro","3","0.0913"
"2580","Calare","3","0.0600"
"2581","Hume","2","0.8612"
"2581","Eden-Monaro","2","0.1388"
"2582","Hume","3","0.0229"
"2582","Eden-Monaro","3","0.8866"
"2582","Riverina","3","0.0905"
"2583","Hume","1","1.0000"
"2584","Eden-Monaro","1","1.0000"
"2585","Riverina","1","1.0000"
"2586","Hume","2","0.8592"
"2586","Riverina","2","0.1408"
"2587","Riverina","1","1.0000"
"2588","Riverina","1","1.0000"
"2590","Riverina","1","1.0000"
"2594","Riverina","1","1.0000"
"2600","Canberra","1","1.0000"
"2601","Canberra","1","1.0000"
"2602","Fenner","1","1.0000"
"2603","Canberra","1","1.0000"
"2604","Canberra","1","1.0000"
"2605","Canberra","1","1.0000"
"2606","Canberra","1","1.0000"
"2607","Canberra","1","1.0000"
"2609","Fenner","2","0.7523"
"2609","Canberra","2","0.2477"
"2611","Canberra","2","0.3432"
"2611","Eden-Monaro","2","0.6568"
"2612","Canberra","2","0.9011"
"2612","Fenner","2","0.0989"
"2614","Fenner","1","1.0000"
"2615","Fenner","1","1.0000"
"2617","Fenner","2","0.7952"
"2617","Canberra","2","0.2048"
"2618","Eden-Monaro","1","1.0000"
"2619","Eden-Monaro","1","1.0000"
"2620","Fenner","3","0.0267"
"2620","Eden-Monaro","3","0.5744"
"2620","Canberra","3","0.3989"
"2621","Eden-Monaro","1","1.0000"
"2622","Eden-Monaro","3","0.7306"
"2622","Gilmore","3","0.2264"
"2622","Hume","3","0.0430"
"2623","Eden-Monaro","1","1.0000"
"2625","Eden-Monaro","1","1.0000"
"2626","Eden-Monaro","1","1.0000"
"2627","Eden-Monaro","1","1.0000"
"2628","Eden-Monaro","1","1.0000"
"2629","Eden-Monaro","1","1.0000"
"2630","Eden-Monaro","1","1.0000"
"2631","Eden-Monaro","1","1.0000"
"2632","Eden-Monaro","1","1.0000"
"2633","Eden-Monaro","1","1.0000"
"2640","Farrer","2","0.8930"
"2640","Eden-Monaro","2","0.1070"
"2641","Farrer","1","1.0000"
"2642","Eden-Monaro","3","0.4994"
"2642","Farrer","3","0.3543"
"2642","Riverina","3","0.1463"
"2643","Farrer","1","1.0000"
"2644","Farrer","1","1.0000"
"2645","Farrer","2","0.8865"
"2645","Riverina","2","0.1135"
"2646","Farrer","1","1.0000"
"2647","Farrer","1","1.0000"
"2648","Farrer","2","0.8701"
"2648","Parkes","2","0.1299"
"2649","Eden-Monaro","1","1.0000"
"2650","Riverina","2","0.8807"
"2650","Farrer","2","0.1193"
"2651","Riverina","1","1.0000"
"2652","Farrer","2","0.6416"
"2652","Riverina","2","0.3584"
"2653","Eden-Monaro","1","1.0000"
"2655","Riverina","1","1.0000"
"2656","Riverina","1","1.0000"
"2658","Riverina","2","0.5856"
"2658","Farrer","2","0.4144"
"2659","Farrer","2","0.9799"
"2659","Riverina","2","0.0201"
"2660","Farrer","1","1.0000"
"2661","Riverina","1","1.0000"
"2663","Riverina","1","1.0000"
"2665","Riverina","2","0.6273"
"2665","Farrer","2","0.3727"
"2666","Riverina","1","1.0000"
"2668","Riverina","1","1.0000"
"2669","Riverina","3","0.5744"
"2669","Parkes","3","0.2413"
"2669","Farrer","3","0.1843"
"2671","Riverina","2","0.8381"
"2671","Parkes","2","0.1619"
"2672","Parkes","1","1.0000"
"2675","Farrer","1","1.0000"
"2678","Riverina","1","1.0000"
"2680","Farrer","1","1.0000"
"2681","Farrer","1","1.0000"
"2700","Farrer","1","1.0000"
"2701","Riverina","1","1.0000"
"2702","Riverina","1","1.0000"
"2703","Farrer","1","1.0000"
"2705","Farrer","1","1.0000"
"2706","Farrer","1","1.0000"
"2707","Farrer","1","1.0000"
"2710","Farrer","1","1.0000"
"2711","Farrer","1","1.0000"
"2712","Farrer","1","1.0000"
"2713","Farrer","1","1.0000"
"2714","Farrer","1","1.0000"
"2715","Farrer","1","1.0000"
"2716","Farrer","1","1.0000"
"2717","Farrer","1","1.0000"
"2720","Eden-Monaro","1","1.0000"
"2721","Riverina","1","1.0000"
"2722","Riverina","2","0.9262"
"2722","Eden-Monaro","2","0.0738"
"2725","Riverina","1","1.0000"
"2726","Riverina","1","1.0000"
"2727","Riverina","1","1.0000"
"2729","Riverina","2","0.3785"
"2729","Eden-Monaro","2","0.6215"
"2730","Eden-Monaro","1","1.0000"
"2731","Farrer","1","1.0000"
"2732","Farrer","1","1.0000"
"2733","Farrer","1","1.0000"
"2734","Farrer","1","1.0000"
"2735","Farrer","1","1.0000"
"2736","Farrer","1","1.0000"
"2737","Farrer","1","1.0000"
"2738","Farrer","1","1.0000"
"2739","Farrer","1","1.0000"
"2745","Hume","2","0.5164"
"2745","Lindsay","2","0.4836"
"2747","Lindsay","2","0.7853"
"2747","Chifley","2","0.2147"
"2748","Lindsay","2","0.9095"
