"POSTCODE","DISTRICT","area_sqkm","proportion_in_district"
"3978","Pakenham","10.158","0.105440164"
"3755","Eildon","2.888","0.089243225"
"3755","Yan Yean","29.473","0.910756775"
"3902","Gippsland East","28.482","1"
"3904","Gippsland East","27.777","1"
"3909","Gippsland East","330.148","1"
"3081","Ivanhoe","6.219","1"
"3085","Ivanhoe","4.298","0.579714054"
"3085","Bundoora","3.116","0.420285946"
"3083","Bundoora","18.334","1"
"3927","Hastings","14.043","1"
"3754","Yan Yean","54.698","1"
"3635","Shepparton","182.044","1"
"3980","Bass","36.479","1"
"3053","Melbourne","1.749","1"
"3752","Mill Park","19.126","0.908080904"
"3752","Yan Yean","1.936","0.091919096"
"3915","Hastings","26.866","0.409131057"
"3915","Mornington","38.8","0.590868943"
"3055","Pascoe Vale","1.029","0.322772898"
"3055","Brunswick","2.159","0.677227102"
"3644","Ovens Valley","264.498","1"
"3730","Ovens Valley","485.859","1"
"3123","Hawthorn","3.49","1"
"3318","Lowan","1302.113","1"
"3004","Prahran","2.433","0.638415114"
"3004","Albert Park","0.57","0.149567043"
"3004","Melbourne","0.808","0.212017843"
"3594","Murray Plains","27.836","1"
"3145","Malvern","7.659","0.85728677"
"3145","Caulfield","1.275","0.14271323"
"3489","Mildura","452.963","1"
"3649","Ovens Valley","162.045","1"
"3658","Eildon","96.053","0.170165838"
"3658","Euroa","327.284","0.579810689"
"3658","Yan Yean","141.13","0.250023473"
"3641","Shepparton","253.191","1"
"3636","Ovens Valley","173.377","0.438597113"
"3636","Shepparton","221.922","0.561402887"
"3889","Gippsland East","1714.122","1"
"3979","Bass","71.991","1"
"3037","Sydenham","22.593","1"
"3198","Carrum","8.297","0.664238252"
"3198","Frankston","4.194","0.335761748"
"3521","Euroa","115.837","1"
"3048","Broadmeadows","3.017","0.387490367"
"3048","Greenvale","4.769","0.612509633"
"3217","South Barwon","108.141","0.838894104"
"3217","Polwarth","20.768","0.161105896"
"3717","Eildon","1033.526","1"
"3675","Ovens Valley","292.264","0.609913834"
"3675","Euroa","186.925","0.390086166"
"3506","Mildura","433.451","1"
"3235","Polwarth","193.582","1"
"3659","Euroa","178.043","1"
"3240","South Barwon","57.791","0.263902715"
"3240","Polwarth","161.195","0.736097285"
"3414","Lowan","703.226","1"
"3311","Lowan","371.241","1"
"3640","Ovens Valley","32.887","0.200864854"
"3640","Shepparton","130.84","0.799135146"
"3300","Lowan","323.519","1"
"3934","Mornington","29.779","1"
"3234","Polwarth","150.698","1"
"3913","Hastings","23.894","1"
"3107","Bulleen","5.93","1"
"3250","Polwarth","84.456","1"
"3975","Carrum","9.326","0.694518916"
"3975","Narre Warren South","4.102","0.305481084"
"3812","Narracan","88.74","0.913329422"
"3812","Monbulk","2.574","0.026492111"
"3812","Pakenham","5.847","0.060178467"
"3622","Murray Plains","152.672","1"
"3530","Mildura","397.016","1"
"3319","Lowan","578.93","1"
"3038","St Albans","4.711","0.358742004"
"3038","Niddrie","2.594","0.197532744"
"3038","Sydenham","5.827","0.443725251"
"3182","Prahran","0.851","0.232895457"
"3182","Albert Park","2.803","0.767104543"
"3708","Benambra","75.472","1"
"3409","Lowan","1615.555","1"
"3125","Box Hill","3.231","0.53422619"
"3125","Ashwood","2.817","0.46577381"
"3076","Mill Park","9.525","0.282330972"
"3076","Thomastown","24.212","0.717669028"
"3132","Ringwood","6.625","1"
"3433","Macedon","25.681","1"
"3124","Hawthorn","7.507","0.974049565"
"3124","Ashwood","0.2","0.025950435"
"3146","Hawthorn","0.319","0.039745826"
"3146","Malvern","2.692","0.335409918"
"3146","Ashwood","5.015","0.624844256"
"3287","South-West Coast","330.709","1"
"3150","Glen Waverley","20.942","0.780253353"
"3150","Mulgrave","5.898","0.219746647"
"3228","Polwarth","103.193","1"
"3631","Euroa","205.896","0.319796221"
"3631","Shepparton","437.939","0.680203779"
"3214","Lara","26.383","1"
"3629","Murray Plains","155.267","0.509097169"
