"SA1_CODE_2016","district","proportion_in_district"
2103726,Geelong,1
2103727,Geelong,1
2103728,Geelong,1
2103729,Geelong,1
2103730,Geelong,1
2103731,Geelong,1
2103732,Geelong,0.9215
2103732,South Barwon,0.0785
2103801,Lara,1
2103802,Lara,1
2103803,Lara,1
2103804,Lara,1
2103805,Lara,1
2103806,Lara,1
2103807,Lara,1
2103808,Lara,1
2103809,Lara,1
2103810,Lara,1
2103811,Lara,1
2103812,Lara,1
2103813,Lara,1
2103814,Lara,1
2103815,Lara,1
2103816,Lara,1
2103817,Lara,1
2103818,Lara,1
2103819,Lara,1
2103820,Lara,1
2103821,Lara,1
2103822,Lara,1
2103823,Lara,1
2103824,Lara,1
2103825,Lara,1
2103826,Lara,1
2103827,Lara,1
2103828,Lara,1
2103829,Lara,1
2103830,Lara,1
2103831,Lara,1
2103832,Lara,1
2103833,Lara,1
2103834,Lara,1
2103835,Lara,1
2103836,Lara,1
2103837,Lara,1
2103838,Lara,1
2103839,Lara,1
2103840,Lara,1
2103841,Lara,1
2103842,Lara,1
2103843,Lara,1
2103844,Lara,1
2103845,Lara,1
2103846,Lara,1
2103847,Lara,1
2103848,Lara,1
2103849,Lara,1
2103850,Lara,1
2103851,Lara,1
2103852,Lara,1
2103853,Lara,1
2103854,Lara,1
2103855,Lara,1
2103856,Lara,1
2103857,Lara,1
2103858,Lara,1
2103859,Lara,1
2103860,Lara,1
2103861,Lara,1
2103862,Lara,1
2103863,Lara,1
2103864,Lara,1
2103865,Lara,1
2103866,Lara,1
2103867,Lara,1
2103868,Lara,1
2103869,Lara,1
2103870,Lara,1
2103871,Lara,1
2103872,Lara,1
2103873,Lara,1
2103874,Lara,1
2103875,Lara,1
2103876,Lara,1
2103904,Geelong,1
2103905,Geelong,1
2103906,Geelong,1
2103907,Geelong,1
2103908,Geelong,1
2103909,Geelong,1
2103910,Geelong,1
2103911,Geelong,1
2103912,Geelong,1
2103913,Geelong,1
2103914,Geelong,1
2103915,Geelong,1
2103916,Geelong,1
2103917,Geelong,1
2103918,Geelong,1
2103919,Geelong,1
2103920,Geelong,1
2103921,Geelong,1
2103922,Geelong,1
2103923,Geelong,1
2103924,Geelong,1
2103925,Geelong,1
2103927,Geelong,1
2103928,Geelong,1
2103929,Geelong,1
2103930,Geelong,1
2103931,Geelong,1
2103932,Geelong,1
2103933,Geelong,1
2103934,Geelong,1
2103935,Geelong,1
2103936,Geelong,1
2103937,Geelong,1
2103938,Geelong,1
