SA1_CODE21,Electorate,proportion
10106154209,Riverina,1
10106154210,Riverina,1
10106154211,Riverina,1
10106154212,Riverina,1
10106154213,Riverina,1
10106154215,Riverina,1
10106154216,Riverina,1
10106154217,Riverina,1
10106154219,Riverina,1
10106154220,Riverina,1
10106154222,Riverina,1
10106154223,Riverina,1
10106154224,Riverina,1
10106154226,Riverina,1
10106154227,Riverina,1
10106154228,Riverina,1
10106154229,Riverina,1
10106154231,Riverina,1
10106154232,Riverina,1
10106154233,Riverina,1
10106154234,Riverina,1
10106154235,Riverina,1
10106154236,Riverina,1
10106154237,Riverina,1
10106154238,Riverina,1
10106154239,Riverina,1
10106154240,Riverina,1
10106154241,Riverina,1
10106154242,Riverina,1
10106154243,Riverina,1
10106154301,Riverina,1
10106154302,Riverina,1
10106154303,Riverina,1
10106154304,Riverina,1
10106154305,Riverina,1
10106154306,Riverina,1
10106154307,Riverina,1
10106154308,Riverina,1
10106154309,Riverina,1
10106154310,Riverina,1
10106154311,Riverina,1
10106154312,Riverina,1
10106154313,Riverina,1
10106154314,Riverina,1
10106154315,Riverina,1
10106154316,Riverina,1
10106154317,Riverina,1
10106154318,Riverina,1
10106154319,Riverina,1
10106154320,Riverina,1
10106154321,Riverina,1
10106154322,Riverina,1
10106154323,Riverina,1
10106154324,Riverina,1
10106154325,Riverina,1
10106154326,Riverina,1
10106154327,Riverina,1
10106154328,Riverina,1
10106154329,Riverina,1
10106154330,Riverina,1
10106154401,Riverina,1
10106154402,Riverina,1
10106154403,Riverina,1
10106154404,Riverina,1
10106154405,Riverina,1
10106154406,Riverina,1
10106154408,Riverina,1
10106154409,Riverina,1
10106154410,Riverina,1
10106154411,Riverina,1
10106154412,Riverina,1
10106154413,Riverina,1
10106154414,Riverina,1
10106154415,Riverina,1
10106154416,Riverina,1
10106154417,Riverina,1
10106154418,Riverina,1
10106154419,Riverina,1
10106154420,Riverina,1
10106154421,Riverina,1
10106154422,Riverina,1
10106154423,Riverina,1
10201102801,Robertson,1
10201102802,Robertson,1
10201102803,Robertson,1
10201102804,Robertson,1
10201102805,Robertson,1
10201102806,Robertson,1
10201102807,Robertson,1
10201102808,Robertson,1
10201102809,Robertson,1
10201102810,Robertson,1
10201102811,Robertson,1
10201102812,Robertson,1
10201102813,Robertson,1
10201102814,Robertson,1
10201102815,Robertson,1
10201102816,Robertson,1
10201102817,Robertson,1
10201102818,Robertson,1
10201102901,Robertson,1
10201102902,Robertson,1
10201102903,Robertson,1
10201102904,Robertson,1
10201102905,Robertson,1
10201102906,Robertson,1
10201102907,Robertson,1
10201102908,Robertson,1
10201102909,Robertson,1
10201102910,Robertson,1
10201102911,Robertson,1
10201102912,Robertson,1
10201102913,Robertson,1
10201102914,Robertson,1
10201102915,Robertson,1
10201102916,Robertson,1
10201102917,Robertson,1
10201102918,Robertson,1
10201102919,Robertson,1
10201102920,Robertson,1
10201102921,Robertson,1
10201102922,Robertson,1
10201102923,Robertson,1
10201102924,Robertson,1
10201102925,Robertson,1
10201102926,Robertson,1
10201102927,Robertson,1
10201102928,Robertson,1
10201103002,Robertson,1
10201103003,Robertson,1
10201103004,Robertson,1
10201103005,Robertson,1
10201103006,Robertson,1
10201103007,Dobell,1
10201103008,Robertson,1
10201103009,Robertson,1
10201103010,Robertson,1
10201103011,Robertson,1
10201103012,Robertson,1
10201103013,Robertson,1
10201103014,Robertson,1
10201103101,Robertson,1
10201103102,Robertson,1
10201103103,Robertson,1
10201103104,Robertson,1
10201103105,Robertson,1
10201103106,Robertson,1
10201103107,Robertson,1
10201103108,Robertson,1
10201103109,Robertson,1
10201103110,Robertson,1
10201103111,Robertson,1
10201103112,Dobell,1
10201103113,Dobell,1
10201103114,Dobell,1
10201103115,Robertson,0.130787153
10201103115,Dobell,0.869212847
10201103116,Robertson,1
10201103117,Robertson,1
10201103118,Dobell,1
10201103119,Robertson,0.391478003
10201103119,Dobell,0.608521997
10201103120,Robertson,1
10201103121,Robertson,1
10201103122,Robertson,1
10201103123,Robertson,1
10201103124,Robertson,1
10201103125,Robertson,1
10201103126,Robertson,1
10201103127,Robertson,1
10201103128,Robertson,1
10201103129,Robertson,1
10201103130,Robertson,1
10201103131,Robertson,1
10201103132,Robertson,1
10201103133,Robertson,1
10201103134,Robertson,1
10201103135,Robertson,1
10201103136,Robertson,1
10201103137,Robertson,1
10201103138,Robertson,1
10201103201,Robertson,1
10201103202,Robertson,1
10201103203,Robertson,1
10201103204,Robertson,1
10201103205,Robertson,1
10201103206,Robertson,1
10201103207,Robertson,1
10201103208,Robertson,1
10201103210,Robertson,1
10201103211,Robertson,1
10201103212,Robertson,1
10201103213,Robertson,1
10201103214,Robertson,1
10201103215,Robertson,1
10201103216,Robertson,1
10201103217,Robertson,1
10201103218,Robertson,1
10201103219,Robertson,1
10201103220,Robertson,1
10201103221,Robertson,1
10201103223,Robertson,1
10201103224,Robertson,1
10201103225,Robertson,1
10201103226,Robertson,1
10201103227,Robertson,1
10201103228,Robertson,1
10201103229,Robertson,1
10201103230,Robertson,1
10201103231,Robertson,1
10201103232,Robertson,1
10201103233,Robertson,1
10201103234,Robertson,1
10201103235,Robertson,1
10201103236,Robertson,1
10201103237,Robertson,1
10201103238,Robertson,1
10201103239,Robertson,1
10201103240,Robertson,1
10201103241,Robertson,1
10201103242,Robertson,1
10201103243,Robertson,1
10201103244,Robertson,1
10201103245,Robertson,1
10201103246,Robertson,1
10201103247,Robertson,1
10201103248,Robertson,1
10201103301,Robertson,1
10201103302,Robertson,1
10201103303,Robertson,1
10201103304,Robertson,1
10201103305,Robertson,1
10201103306,Robertson,1
10201103307,Robertson,1
10201103308,Robertson,1
10201103309,Robertson,1
10201103310,Robertson,1
10201103311,Robertson,1
10201103312,Robertson,1
10201103313,Robertson,1
10201103314,Robertson,1
10201103315,Robertson,1
10201103316,Robertson,1
10201103317,Robertson,1
10201103318,Robertson,1
10201103319,Robertson,1
10201103320,Robertson,1
10201103401,Robertson,1
10201103402,Robertson,1
10201103403,Robertson,1
10201103404,Robertson,1
10201103405,Robertson,1
10201103406,Robertson,1
10201103408,Robertson,1
10201103409,Robertson,1
10201103410,Robertson,1
10201103411,Robertson,1
10201103412,Robertson,1
10201103413,Robertson,1
10201103414,Robertson,1
10201103415,Robertson,1
10201103416,Robertson,1
10201103417,Robertson,1
10201103418,Robertson,1
10201103419,Robertson,1
10201103420,Robertson,1
10201103501,Robertson,1
10201103502,Robertson,1
10201103503,Robertson,1
10201103504,Robertson,1
10201103505,Robertson,1
10201103506,Robertson,1
10201103507,Robertson,1
10201103508,Robertson,1
10201103509,Robertson,1
10201103510,Robertson,1
10201103511,Robertson,1
10201103512,Robertson,1
10201103513,Robertson,1
10201103514,Robertson,1
10201103515,Robertson,1
10201103516,Robertson,1
10201103517,Robertson,1
10201103601,Dobell,1
10201103602,Dobell,1
10201103603,Robertson,1
10201103604,Robertson,1
10201103605,Robertson,1
10201103606,Robertson,1
10201103607,Dobell,1
10201103608,Dobell,1
10201103609,Dobell,1
10201103610,Dobell,1
10201103611,Dobell,1
10201103612,Robertson,1
10201103613,Robertson,1
10201103614,Robertson,1
10201103615,Dobell,1
10201103616,Dobell,1
10201103617,Dobell,1
10201103618,Robertson,1
10201103619,Dobell,1
10201103620,Dobell,1
10201103621,Dobell,1
10201103622,Dobell,1
10201103701,Robertson,1
10201103702,Robertson,1
10201103703,Robertson,1
10201103704,Robertson,1
10201103705,Robertson,1
10201103706,Robertson,1
10201103707,Robertson,1
10201103708,Robertson,1
10201103709,Robertson,1
10201103710,Robertson,1
10201103711,Robertson,1
10201103712,Robertson,1
10201103713,Robertson,1
10201103714,Robertson,1
10201103801,Robertson,1
10201103802,Robertson,1
10201103803,Robertson,1
10201103804,Robertson,1
10201103805,Robertson,1
10201103806,Robertson,1
10201103807,Robertson,1
10201103808,Robertson,1
10201103809,Robertson,1
10201103810,Robertson,1
10201103811,Robertson,1
10201103812,Robertson,1
10201103813,Robertson,1
10201103814,Robertson,1
10201103815,Robertson,1
10201103816,Robertson,1
10201103817,Robertson,1
10201103901,Robertson,1
10201103902,Robertson,1
10201103903,Robertson,1
10201103904,Robertson,1
10201103905,Robertson,1
10201103906,Robertson,1
10201103908,Robertson,1
10201103909,Robertson,1
10201103911,Robertson,1
10201103912,Robertson,1
10201103913,Robertson,1
10201103914,Robertson,1
10201103915,Robertson,1
10201103916,Robertson,1
10201103917,Robertson,1
10201103918,Robertson,1
10201103919,Robertson,1
10201103921,Robertson,1
10201103922,Robertson,1
10201103923,Robertson,1
10201103924,Robertson,1
10201103925,Robertson,1
10201103926,Robertson,1
10201103927,Robertson,1
10201103928,Robertson,1
10201103929,Robertson,1
10201103931,Robertson,1
10201103932,Robertson,1
10201103933,Robertson,1
10201103934,Robertson,1
10201103935,Robertson,1
10201103936,Robertson,1
10201104001,Robertson,1
10201104002,Robertson,1
10201104003,Robertson,1
10201104004,Robertson,1
10201104005,Robertson,1
10201104006,Robertson,1
10201104007,Robertson,1
10201104008,Robertson,1
10201104009,Robertson,1
10201104010,Robertson,1
10201104011,Robertson,1
10201104012,Robertson,1
10201104013,Robertson,1
10201104014,Robertson,1
10201104015,Robertson,1
10201104016,Robertson,1
10201104017,Robertson,1
10201104018,Robertson,1
10201104019,Robertson,1
10201104020,Robertson,1
10201104021,Robertson,1
10201104022,Robertson,1
10201104023,Robertson,1
10201104024,Robertson,1
10201104025,Robertson,1
10201104026,Robertson,1
10201104027,Robertson,1
10201104028,Robertson,1
10201104029,Robertson,1
10201104030,Robertson,1
10201104031,Robertson,1
10201104032,Robertson,1
10201104033,Robertson,1
10201104034,Robertson,1
